eng_name,chn_name,jpn_name,cost,mana,color,type,chn_type,pt,p,t,loyalty,rule,chn_rule,back_name,created,update
Wayward Angel,,,4WW,6.0,W,Creature — Angel Horror,,4/4,4,4,,"Flying, vigilance
Threshold — As long as seven or more cards are in your graveyard, this creature gets +3/+3, is black, has trample, and has ""At the beginning of your upkeep, sacrifice a creature.""",,,,
Mindless Automaton,,,4,4.0,N,Artifact Creature — Construct,,0/0,0,0,,"This creature enters with two +1/+1 counters on it.
{1}, Discard a card: Put a +1/+1 counter on this creature.
Remove two +1/+1 counters from this creature: Draw a card.",,,,
Choke,,,2G,3.0,G,Enchantment,,,,,,Islands don't untap during their controllers' untap steps.,,,,
Magnetic Web,,,2,2.0,N,Artifact,,,,,,"If a creature with a magnet counter on it attacks, all creatures with magnet counters on them attack if able.
Whenever a creature with a magnet counter on it attacks, all creatures with magnet counters on them block that creature this turn if able.
{1}, {T}: Put a magnet counter on target creature.",,,,
Feral Instinct,,,1G,2.0,G,Instant,,,,,,"Target creature gets +1/+1 until end of turn.
Draw a card at the beginning of the next turn's upkeep.",,,,
Goblin Psychopath,,,3R,4.0,R,Creature — Goblin Mutant,,5/5,5,5,,"Whenever this creature attacks or blocks, flip a coin. If you lose the flip, the next time it would deal combat damage this turn, it deals that damage to you instead.",,,,
Bouncing Beebles,,,2U,3.0,U,Creature — Beeble,,2/2,2,2,,This creature can't be blocked as long as defending player controls an artifact.,,,,
Orcish Squatters,,,4R,5.0,R,Creature — Orc,,2/3,2,3,,"Whenever this creature attacks and isn't blocked, you may gain control of target land defending player controls for as long as you control this creature. If you do, this creature assigns no combat damage this turn.",,,,
Rebel Informer,,,2B,3.0,B,Creature — Human Mercenary Rebel,,1/2,1,2,,"This creature can't be the target of white spells or abilities from white sources.
{3}: Put target nontoken Rebel on the bottom of its owner's library.",,,,
Aven Warhawk,,,4W,5.0,W,Creature — Bird Soldier,,2/2,2,2,,"Amplify 1 (As this creature enters, put a +1/+1 counter on it for each Bird and/or Soldier card you reveal in your hand.)
Flying",,,,
Reckless Charge,,,R,1.0,R,Sorcery,,,,,,"Target creature gets +3/+0 and gains haste until end of turn.
Flashback {2}{R} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Ingenious Thief,,,1U,2.0,U,Creature — Human Rogue,,1/1,1,1,,"Flying
When this creature enters, look at target player's hand.",,,,
Dromar's Cavern,,,,0.0,L,Land — Lair,,,,,,"When this land enters, sacrifice it unless you return a non-Lair land you control to its owner's hand.
{T}: Add {W}, {U}, or {B}.",,,,
Hint of Insanity,,,2B,3.0,B,Sorcery,,,,,,Target player reveals their hand. That player discards all nonland cards with the same name as another card in their hand.,,,,
Mistform Skyreaver,,,5UU,7.0,U,Creature — Illusion,,6/6,6,6,,"Flying
{1}: This creature becomes the creature type of your choice until end of turn.",,,,
Putrefaction,,,4B,5.0,B,Enchantment,,,,,,"Whenever a player casts a green or white spell, that player discards a card.",,,,
Collective Restraint,,,3U,4.0,U,Enchantment,,,,,,"Domain — Creatures can't attack you unless their controller pays {X} for each creature they control that's attacking you, where X is the number of basic land types among lands you control.",,,,
Raven Guild Master,,,1UU,3.0,U,Creature — Human Wizard Mutant,,1/1,1,1,,"Whenever this creature deals combat damage to a player, that player exiles the top ten cards of their library.
Morph {2}{U}{U} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",,,,
Terravore,,,1GG,3.0,G,Creature — Lhurgoyf,,*/*,*,*,,"Trample
Terravore's power and toughness are each equal to the number of land cards in all graveyards.",,,,
Spike Drone,,,G,1.0,G,Creature — Spike Drone,,0/0,0,0,,"This creature enters with a +1/+1 counter on it.
{2}, Remove a +1/+1 counter from this creature: Put a +1/+1 counter on target creature.",,,,
Fortified Area,,,1WW,3.0,W,Enchantment,,,,,,"Wall creatures you control get +1/+0 and have banding. (Any creatures with banding, and up to one without, can attack in a band. Bands are blocked as a group. If any creatures with banding you control are blocking or being blocked by a creature, you divide that creature's combat damage, not its controller, among any of the creatures it's being blocked by or is blocking.)",,,,
Proteus Machine,,,3,3.0,N,Artifact Creature — Shapeshifter,,2/2,2,2,,"Morph {0} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)
When this creature is turned face up, it becomes the creature type of your choice. (This effect lasts indefinitely.)",,,,
Reconnaissance,,,W,1.0,W,Enchantment,,,,,,"{0}: Remove target attacking creature you control from combat and untap it. (If you activate during end of combat, the creature will untap after it deals combat damage.)",,,,
Orcish Captain,,,R,1.0,R,Creature — Orc Warrior,,1/1,1,1,,"{1}: Flip a coin. If you win the flip, target Orc creature gets +2/+0 until end of turn. If you lose the flip, it gets -0/-2 until end of turn.",,,,
Death Pulse,,,2BB,4.0,B,Instant,,,,,,"Target creature gets -4/-4 until end of turn.
Cycling {1}{B}{B} ({1}{B}{B}, Discard this card: Draw a card.)
When you cycle this card, you may have target creature get -1/-1 until end of turn.",,,,
Demolish,,,3R,4.0,R,Sorcery,,,,,,Destroy target artifact or land.,,,,
Blood Pet,,,B,1.0,B,Creature — Thrull,,1/1,1,1,,Sacrifice this creature: Add {B}.,,,,
Shambling Swarm,,,1BBB,4.0,B,Creature — Horror,,3/3,3,3,,"When this creature dies, distribute three -1/-1 counters among one, two, or three target creatures. For each -1/-1 counter you put on a creature this way, remove a -1/-1 counter from that creature at the beginning of the next end step.",,,,
Arc-Slogger,,,3RR,5.0,R,Creature — Beast,,4/5,4,5,,"{R}, Exile the top ten cards of your library: This creature deals 2 damage to any target.",,,,
Liquid Fire,,,4RR,6.0,R,Sorcery,,,,,,"As an additional cost to cast this spell, choose a number between 0 and 5.
Liquid Fire deals X damage to target creature and 5 minus X damage to that creature's controller, where X is the chosen number.",,,,
Zealous Inquisitor,,,2W,3.0,W,Creature — Human Cleric,,2/2,2,2,,{1}{W}: The next 1 damage that would be dealt to this creature this turn is dealt to target creature instead.,,,,
Dragon Shadow,,,1B,2.0,B,Enchantment — Aura,,,,,,"Enchant creature
Enchanted creature gets +1/+0 and has fear. (It can't be blocked except by artifact creatures and/or black creatures.)
When a creature with mana value 6 or greater enters, you may return this card from your graveyard to the battlefield attached to that creature.",,,,
Kyren Archive,,,3,3.0,N,Artifact,,,,,,"At the beginning of your upkeep, you may exile the top card of your library face down.
{5}, Discard your hand, Sacrifice this artifact: Put all cards exiled with this artifact into their owner's hand.",,,,
Torch Song,,,2R,3.0,R,Enchantment,,,,,,"At the beginning of your upkeep, you may put a verse counter on this enchantment.
{2}{R}, Sacrifice this enchantment: It deals X damage to any target, where X is the number of verse counters on this enchantment.",,,,
Lifeline,,,5,5.0,N,Artifact,,,,,,"Whenever a creature dies, if another creature is on the battlefield, return the first card to the battlefield under its owner's control at the beginning of the next end step.",,,,
Circle of Solace,,,3W,4.0,W,Enchantment,,,,,,"As this enchantment enters, choose a creature type.
{1}{W}: The next time a creature of the chosen type would deal damage to you this turn, prevent that damage.",,,,
Krosan Verge,,,,0.0,L,Land,,,,,,"This land enters tapped.
{T}: Add {C}.
{2}, {T}, Sacrifice this land: Search your library for a Forest card and a Plains card, put them onto the battlefield tapped, then shuffle.",,,,
Petradon,,,6RR,8.0,R,Creature — Nightmare Beast,,5/6,5,6,,"When this creature enters, exile two target lands.
When this creature leaves the battlefield, return the exiled cards to the battlefield under their owners' control.
{R}: This creature gets +1/+0 until end of turn.",,,,
Goretusk Firebeast,,,5R,6.0,R,Creature — Elemental Boar Beast,,2/2,2,2,,"When this creature enters, it deals 4 damage to target player or planeswalker.",,,,
Strafe,,,R,1.0,R,Sorcery,,,,,,Strafe deals 3 damage to target nonred creature.,,,,
Defender of Law,,,2W,3.0,W,Creature — Human Knight,,2/1,2,1,,"Flash
Protection from red",,,,
Pyre Zombie,,,1BR,3.0,Z,Creature — Zombie,,2/1,2,1,,"At the beginning of your upkeep, if this card is in your graveyard, you may pay {1}{B}{B}. If you do, return it to your hand.
{1}{R}{R}, Sacrifice this creature: It deals 2 damage to any target.",,,,
Firecat Blitz,,,XRR,2.0,R,Sorcery,,,,,,"Create X 1/1 red Elemental Cat creature tokens with haste. Exile them at the beginning of the next end step.
Flashback—{R}{R}, Sacrifice X Mountains. (You may cast this card from your graveyard for its flashback cost. Then exile it.)",,,,
Vampirism,,,1B,2.0,B,Enchantment — Aura,,,,,,"Enchant creature
When this Aura enters, draw a card at the beginning of the next turn's upkeep.
Enchanted creature gets +1/+1 for each other creature you control.
Other creatures you control get -1/-1.",,,,
Toymaker,,,2,2.0,N,Artifact Creature — Spellshaper,,1/1,1,1,,"{1}, {T}, Discard a card: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its mana value until end of turn. (It retains its abilities.)",,,,
Kaboom!,,,4R,5.0,R,Sorcery,,,,,,"Choose any number of target players or planeswalkers. For each of them, reveal cards from the top of your library until you reveal a nonland card, Kaboom! deals damage equal to that card's mana value to that player or planeswalker, then you put the revealed cards on the bottom of your library in any order.",,,,
Price of Glory,,,2R,3.0,R,Enchantment,,,,,,"Whenever a player taps a land for mana, if it's not that player's turn, destroy that land.",,,,
Vigilant Sentry,,,1WW,3.0,W,Creature — Human Nomad,,2/2,2,2,,"Threshold — As long as seven or more cards are in your graveyard, this creature gets +1/+1 and has ""{T}: Target attacking or blocking creature gets +3/+3 until end of turn.""",,,,
Dark Hatchling,,,4BB,6.0,B,Creature — Horror,,3/3,3,3,,"Flying
When this creature enters, destroy target nonblack creature. It can't be regenerated.",,,,
"Xun Yu, Wei Advisor",,,1BB,3.0,B,Legendary Creature — Human Advisor,,1/1,1,1,,"{T}: Target creature you control gets +2/+0 until end of turn. Activate only during your turn, before attackers are declared.",,,,
Sylvan Scrying,,,1G,2.0,G,Sorcery,,,,,,"Search your library for a land card, reveal it, put it into your hand, then shuffle.",,,,
Fungus Elemental,,,3G,4.0,G,Creature — Fungus Elemental,,3/3,3,3,,"{G}, Sacrifice a Forest: Put a +2/+2 counter on this creature. Activate only if this creature entered this turn.",,,,
Shadow Rider,,,2BB,4.0,B,Creature — Knight,,3/3,3,3,,"Flanking (Whenever a creature without flanking blocks this creature, the blocking creature gets -1/-1 until end of turn.)",,,,
Heal,,,W,1.0,W,Instant,,,,,,"Prevent the next 1 damage that would be dealt to any target this turn.
Draw a card at the beginning of the next turn's upkeep.",,,,
Plaguebearer,,,1B,2.0,B,Creature — Zombie,,1/1,1,1,,{X}{X}{B}: Destroy target nonblack creature with mana value X.,,,,
Steam Blast,,,2R,3.0,R,Sorcery,,,,,,Steam Blast deals 2 damage to each creature and each player.,,,,
Snag,,,3G,4.0,G,Instant,,,,,,"You may discard a Forest card rather than pay this spell's mana cost.
Prevent all combat damage that would be dealt by unblocked creatures this turn.",,,,
Lightning Cloud,,,3R,4.0,R,Enchantment,,,,,,"Whenever a player casts a red spell, you may pay {R}. If you do, this enchantment deals 1 damage to any target.",,,,
Skyshroud Troopers,,,3G,4.0,G,Creature — Elf Druid Warrior,,3/3,3,3,,{T}: Add {G}.,,,,
Defender of Chaos,,,2R,3.0,R,Creature — Human Knight,,2/1,2,1,,"Flash
Protection from white",,,,
Mox Diamond,,,0,0.0,N,Artifact,,,,,,"If this artifact would enter, you may discard a land card instead. If you do, put this artifact onto the battlefield. If you don't, put it into its owner's graveyard.
{T}: Add one mana of any color.",,,,
Savage Gorilla,,,4G,5.0,G,Creature — Ape,,3/3,3,3,,"{U}{B}, {T}, Sacrifice this creature: Target creature gets -3/-3 until end of turn. Draw a card.",,,,
Harsh Justice,,,2W,3.0,W,Instant,,,,,,"Cast this spell only during the declare attackers step and only if you've been attacked this step.
This turn, whenever an attacking creature deals combat damage to you, it deals that much damage to its controller.",,,,
Pearlspear Courier,,,2W,3.0,W,Creature — Human Soldier,,2/1,2,1,,"You may choose not to untap this creature during your untap step.
{2}{W}, {T}: Target Soldier creature gets +2/+2 and has vigilance for as long as this creature remains tapped.",,,,
Goblin Burrows,,,,0.0,L,Land,,,,,,"{T}: Add {C}.
{1}{R}, {T}: Target Goblin creature gets +2/+0 until end of turn.",,,,
Squirrel Wrangler,,,2GG,4.0,G,Creature — Human Druid,,2/2,2,2,,"{1}{G}, Sacrifice a land: Create two 1/1 green Squirrel creature tokens.
{1}{G}, Sacrifice a land: Squirrel creatures get +1/+1 until end of turn.",,,,
Ignoble Soldier,,,2W,3.0,W,Creature — Human Soldier,,3/1,3,1,,"Whenever this creature becomes blocked, prevent all combat damage that would be dealt by it this turn.",,,,
Gempalm Incinerator,,,2R,3.0,R,Creature — Goblin,,2/1,2,1,,"Cycling {1}{R} ({1}{R}, Discard this card: Draw a card.)
When you cycle this card, you may have it deal X damage to target creature, where X is the number of Goblins on the battlefield.",,,,
Horseshoe Crab,,,2U,3.0,U,Creature — Crab,,1/3,1,3,,{U}: Untap this creature.,,,,
Rofellos's Gift,,,G,1.0,G,Sorcery,,,,,,Reveal any number of green cards in your hand. Return an enchantment card from your graveyard to your hand for each card revealed this way.,,,,
Angelic Curator,,,1W,2.0,W,Creature — Angel Spirit,,1/1,1,1,,"Flying, protection from artifacts",,,,
Wind Shear,,,2G,3.0,G,Instant,,,,,,Attacking creatures with flying get -2/-2 and lose flying until end of turn.,,,,
Ashnod's Transmogrant,,,1,1.0,N,Artifact,,,,,,"{T}, Sacrifice this artifact: Put a +1/+1 counter on target nonartifact creature. That creature becomes an artifact in addition to its other types.",,,,
Sigil of Sleep,,,U,1.0,U,Enchantment — Aura,,,,,,"Enchant creature
Whenever enchanted creature deals damage to a player, return target creature that player controls to its owner's hand.",,,,
Clockwork Vorrac,,,5,5.0,N,Artifact Creature — Boar Beast,,0/0,0,0,,"Trample
This creature enters with four +1/+1 counters on it.
Whenever this creature attacks or blocks, remove a +1/+1 counter from it at end of combat.
{T}: Put a +1/+1 counter on this creature.",,,,
Mistform Sliver,,,1U,2.0,U,Creature — Illusion Sliver,,1/1,1,1,,"All Slivers have ""{1}: This permanent becomes the creature type of your choice in addition to its other types until end of turn.""",,,,
Lichenthrope,,,3GG,5.0,G,Creature — Plant Fungus,,5/5,5,5,,"If damage would be dealt to this creature, put that many -1/-1 counters on it instead.
At the beginning of your upkeep, remove a -1/-1 counter from this creature.",,,,
